,"Grandes Regiões 
e
Unidades da Federação
da sede da empresa","Número de
empresas ativas","Pessoal ocupado
em 31.12","Salários, retiradas e
outras remunerações 1 000 R$","Valor das incorporações,
obras e/ou serviços
da construção 1 000 R$"
3,Total das empresas,,,,
4,Brasil,111931,2961190,67401296,357722400
5,Norte,4481,130404,2143040,13167774
6,Nordeste,17255,580411,9479046,53132570
7,Sudeste,50008,1611861,43038805,215904828
8,Sul,30502,412501,8442788,48270617
9,Centro-Oeste,9685,226013,4297617,27246611
10,Empresas de 1 a 4 pessoas ocupadas,,,,
11,Brasil,52233,186542,2637119,18244373
12,Norte,2080,12806,160466,1349701
13,Nordeste,8033,39519,478150,4276861
14,Sudeste,21019,69629,929800,4723439
15,Sul,16411,45668,796344,5947283
16,Centro-Oeste,4690,18920,272359,1947089
17,Empresas com 5 ou mais pessoas ocupadas,,,,
18,Brasil,59698,2774648,64764177,339478027
19, Norte,2401,117598,1982574,11818073
20,Rondônia,355,10152,159304,1019677
21,Acre,165,8298,134163,686111
22,Amazonas,592,29517,529092,3302643
23,Roraima,76,3509,52678,356401
24,Pará,823,50555,859874,4937885
25,Amapá,131,4601,68955,319320
26,Tocantins,259,10966,178508,1196036
27,Nordeste,9222,540892,9000896,48855709
28,Maranhão,610,39103,582539,3490531
29,Piauí,391,35171,444520,2349167
30,Ceará,1422,90884,1262291,8725466
31,Rio Grande do Norte,869,35978,587318,4229121
32,Paraíba,1005,38204,505708,2517818
33,Pernambuco,1604,92337,1669429,8472446
34,Alagoas,471,25550,392502,2101660
35,Sergipe,381,25384,424029,2404866
36,Bahia,2469,158281,3132560,14564634
37,Sudeste,28989,1542232,42109005,211181389
38,Minas Gerais,6582,378043,8724100,44343269
39,Espírito Santo,1379,50725,938946,4977593
40,Rio de Janeiro,4371,314594,8935350,41808584
41,São Paulo,16657,798870,23510609,120051943
42, Sul,14091,366833,7646444,42323334
43,Paraná,4791,143589,2962174,17421203
44,Santa Catarina,4084,98302,2086235,10802303
45,Rio Grande do Sul,5216,124942,2598035,14099828
46,Centro-Oeste,4995,207093,4025258,25299522
47,Mato Grosso do Sul,718,29231,452889,2488826
48,Mato Grosso,983,39389,720287,4077521
49,Goiás,2015,79151,1638380,9114767
50,Distrito Federal,1279,59322,1213702,9618408
