,Ano,2012,2013,2014,2015,2016
0,Janeiro,0.35,0.39,0.37,0.62,0.52
1,Fevereiro,0.4,0.59,0.68,0.77,0.53
2,Março,0.42,0.42,0.45,0.41,0.38
3,Abril,0.58,0.5,0.93,0.95,0.29
4,Maio,0.35,0.56,0.47,0.67,0.04
5,Junho,0.3,0.58,0.37,0.47,0.26
6,Julho,0.63,0.37,0.45,0.17,0.12
7,Agosto,0.36,0.63,0.15,0.27,0.26
8,Setembro,0.42,0.91,0.34,0.46,0.16
9,Outubro,0.49,0.68,0.43,0.57,0.03
10,Novembro,0.22,0.29,0.4,0.86,-0.05
11,Dezembro,0.26,0.23,0.27,0.23,0.15
