,Ano,2012,2013,2014,2015,2016
0,Janeiro,0.98,0.39,1.0,0.77,0.15
1,Fevereiro,0.43,1.0,0.22,0.26,0.51
2,Março,0.4,0.14,0.42,0.31,1.16
3,Abril,1.08,1.15,2.2,0.38,0.52
4,Maio,2.22,1.88,2.05,0.24,0.32
5,Junho,2.2800000000000002,3.24,0.01,3.16,2.64
6,Julho,1.05,1.05,1.11,1.1,1.9300000000000002
7,Agosto,0.28,0.03,0.23,1.27,0.26
8,Setembro,0.28,0.03,0.23,1.27,0.55
9,Outubro,0.01,0.03,0.23,1.27,0.3
10,Novembro,0.24,0.25,0.22,1.27,0.36
11,Dezembro,0.31,0.21,0.24,0.02,0.55
