,Mês,Índice de Confiança,Índice da Situação Atual,Índice de Expectativas
0,jan/12,126.9,119.0,134.9
1,fev/12,128.9,118.6,139.1
2,mar/12,129.9,117.4,142.4
3,abr/12,127.9,116.1,139.6
4,mai/12,126.1,115.1,137.2
5,jun/12,124.5,115.0,133.9
6,jul/12,123.8,115.0,132.6
7,ago/12,122.0,112.9,131.1
8,set/12,121.5,112.2,130.7
9,out/12,121.2,113.9,128.6
10,nov/12,121.2,115.0,127.4
11,dez/12,120.9,115.6,126.2
