,Mês,Índice de Confiança,Índice da Situação Atual,Índice de Expectativas
0,jan/12,120.9,112.2,129.6
1,fev/12,120.1,109.3,130.8
2,mar/12,119.7,105.8,133.5
3,abr/12,119.5,105.5,133.4
4,mai/12,120.8,106.9,134.7
5,jun/12,120.0,106.8,133.1
6,jul/12,118.8,106.0,131.6
7,ago/12,116.3,103.3,129.2
8,set/12,115.9,104.7,127.0
9,out/12,116.1,106.1,126.1
10,nov/12,116.7,108.2,125.2
11,dez/12,116.3,108.4,124.1
