,Mês,Índice de Confiança,Índice da Situação Atual,Índice de Expectativas
0,jan/12,-4.8,-5.7,-3.9
1,fev/12,-6.9,-7.9,-6.0
2,mar/12,-7.9,-9.9,-6.3
3,abr/12,-6.6,-9.1,-4.5
4,mai/12,-4.3,-7.1,-1.9
5,jun/12,-3.6,-7.2,-0.6
6,jul/12,-4.1,-7.9,-0.8
7,ago/12,-4.7,-8.5,-1.4
8,set/12,-4.6,-6.7,-2.8
9,out/12,-4.3,-6.9,-1.9
10,nov/12,-3.7,-5.9,-1.7
11,dez/12,-3.9,-6.2,-1.6
